id;environment_name;description;billing_frequency;status;created_on;updated_on;updated_by;created_by
1;heuristic benchmark compress;Mouse Caledonia;Account;Chair invoice extend;2022-04-07T22:59:59;2022-04-07T18:37:36;Hampshire Cotton Jamaica;Rand India
2;Consultant International deposit;policy;Movies silver Cotton;toolset Upgradable;2022-04-07T20:29:39;2022-04-07T11:12:20;markets Kwacha moderator;indexing mint
3;Gloves index extensible;synergistic Books;deposit Leone;protocol Avon USB;2022-04-07T19:16:40;2022-04-07T17:13:25;redundant blockchains;De-engineered cultivate generate
4;metrics tan Shoes;copy Rubber compressing;Wooden;Licensed;2022-04-07T23:09:06;2022-04-07T10:33:47;Fresh;B2C Intelligent
5;transform e-business Accountability;payment Intelligent Avon;Security user-facing;Guarani Security;2022-04-07T17:01:34;2022-04-07T13:39:55;Parkways Beauty Agent;hack GB Singapore
6;hack Buckinghamshire Customer;Bulgaria Home;Peru;utilize Chair Fantastic;2022-04-07T16:13:11;2022-04-08T03:29:22;Wooden;silver projection
7;Tugrik;architect;compress;channels cross-platform extend;2022-04-07T16:18:55;2022-04-08T02:34:37;up e-markets;Sports
8;Delaware Buckinghamshire;Loan Unbranded pixel;Handcrafted Brunei;Afghani Computer;2022-04-07T08:30:33;2022-04-07T09:48:08;definition primary;Mauritius cyan Borders
9;Practical Fantastic invoice;Steel system Product;bluetooth Loop Programmable;artificial;2022-04-07T16:55:25;2022-04-08T04:06:14;bandwidth hacking explicit;National
10;Public-key Chair;niches web-enabled withdrawal;Intelligent Reverse-engineered;Officer Fantastic Towels;2022-04-07T17:46:04;2022-04-08T07:38:50;redundant Towels;Ergonomic Auto
